date,occu_perc,total_sales
2018-03-14,11.4579375,13764378.025
2018-03-15,16.925194805194803,19389649.23809524
2018-03-16,17.678305084745762,18259816.905084744
2018-03-17,13.620900900900901,10112020.996996997
2018-03-18,11.631184573002754,9086891.173553718
2018-03-19,11.348381962864721,8575409.809018567
2018-03-20,5.481455696202532,1643069.6202531646
2018-03-21,23.086211340206187,15170916.429305913
2018-03-22,19.826852589641433,19675663.654761903
2018-03-23,24.67022684310019,23548663.5
2018-03-24,29.649733959311426,26953881.939440995
2018-03-25,28.242404371584698,25936440.07985481
2018-03-26,29.556097122302155,26979109.974955276
2018-03-27,43.83126537785589,37271659.96328671
2018-03-28,36.181408450704225,32252803.461403508
2018-03-29,34.507889273356405,31019738.74827586
2018-03-30,36.28411965811966,32811896.064735945
2018-03-31,35.476507666098804,32555622.208828524
2018-04-01,38.77280977312391,36617293.04347826
2018-04-02,30.263838630806845,23152180.048661802
2018-04-03,47.64957337883959,22569921.7414966
2018-04-04,26.56933104631218,21135623.924786326
2018-04-05,34.29385135135135,28620243.176767677
2018-04-06,35.759211409395974,30128925.528428093
2018-04-07,16.869375,11341071.788927335
2018-04-08,16.363448873483534,11018631.703639515
2018-04-09,16.91127551020408,11422838.425170068
2018-04-10,55.01165032679738,24701188.912052117
2018-04-11,25.95611295681063,17148350.9602649
2018-04-12,37.413126022913254,25430820.504078303
2018-04-13,41.257182410423454,32078675.24025974
2018-04-14,35.58266666666667,27677258.46191248
2018-04-15,15.630737704918033,9627749.178688524
2018-04-16,15.817802013422819,9326269.281879194
2018-04-17,53.41529126213592,22921373.77022654
2018-04-18,27.748965517241377,17246251.19047619
2018-04-19,34.39665086887836,24492314.35229068
2018-04-20,36.306576,27430351.9456
2018-04-21,18.327360000000002,10099855.984
2018-04-22,16.869953560371517,9481284.81888545
2018-04-23,17.06068362480127,9777420.871835442
2018-04-24,54.23568389057751,22314240.10030395
2018-04-25,25.509064417177914,14633749.976993864
2018-04-26,32.82208459214502,23033438.013595168
2018-04-27,33.684266666666666,23949540.69037037
2018-04-28,18.410508221225708,9041173.387144992
2018-04-29,16.970638930163446,8737763.741456166
2018-04-30,15.867369337979095,8501733.44250871
2018-05-01,45.75869942196532,18450093.926300578
2018-05-02,30.808104395604396,21207836.839285713
2018-05-03,28.7578904109589,19545171.579452056
2018-05-04,29.315020188425304,19895639.300134588
2018-05-05,15.349698216735254,7079211.244170096
2018-05-06,13.635260989010987,6711243.129120879
2018-05-07,13.879240331491712,6830233.417127072
2018-05-08,45.29338010204082,15592270.404336736
2018-05-09,18.6121045751634,9079334.193211488
2018-05-10,25.576149870801032,15647894.032299742
2018-05-11,28.412917737789204,17899029.555269923
2018-05-12,15.361599462365593,6816270.161290322
2018-05-13,13.186188524590163,6527192.622950819
2018-05-14,12.823135359116023,5955117.400552486
2018-05-15,43.35634517766498,14622348.092405064
2018-05-16,17.49621476510067,9011327.065683646
2018-05-17,22.078674863387977,11208664.839237057
2018-05-18,26.65644385026738,13192759.664886516
2018-05-19,13.232663877266388,5539888.731571627
2018-05-20,13.534727272727272,5693089.246861924
2018-05-21,12.739495798319327,5491522.346368715
2018-05-22,35.84127829560586,11831535.888297873
2018-05-23,16.96566248256625,7582580.186889819
2018-05-24,21.806707152496628,11066882.585695006
2018-05-25,23.191332436069985,11575080.736204576
2018-05-26,12.757884344146685,5131794.071932299
2018-05-27,11.871982881597718,4946383.736091298
2018-05-28,12.08517985611511,5068798.548201439
2018-05-29,29.62378196500673,9843492.59757739
2018-05-30,13.584040404040405,6035952.375180375
2018-05-31,17.851188811188813,8853062.931468531
2018-06-01,21.159873060648803,10261155.129760226
2018-06-02,12.610793413173653,5204767.964071856
2018-06-03,14.147055837563451,2743540.609137056
2018-06-05,96.6375,17850000.0
2018-06-07,14.475494296577946,6607195.8022813685
2018-06-08,14.696479099678456,6689847.257234727
2018-06-09,8.874851330203443,3631549.291079812
2018-06-10,8.68911858974359,3604543.267628205
2018-06-11,8.364968152866242,3478280.2484076433
2018-06-12,22.479898550724638,7226630.434782608
2018-06-13,11.91620895522388,4969007.458208955
2018-06-14,13.56433933933934,6778822.816816817
2018-06-15,7.948391376451078,4594587.061359867
2018-06-16,13.379151785714287,9125803.55357143
2018-06-17,7.413617363344052,4116278.1318327975
2018-06-18,7.42115562403698,3831540.8305084747
2018-06-19,29.45570224719101,9670835.672752809
2018-06-20,5.840104712041885,2435287.9581151833
2018-06-21,12.012297496318116,7675449.18556701
2018-06-22,15.099037037037037,9793385.174814815
2018-06-23,8.103744,3933776.0
2018-06-24,7.263152709359606,3708144.49589491
2018-06-25,4.352226487523993,1881391.5547024952
2018-06-26,24.257150997150998,8047116.799145299
2018-06-27,8.794009146341462,4430948.161585365
2018-06-28,13.791979913916787,8809024.37302726
2018-06-29,17.463963068181815,10890859.363636363
2018-06-30,9.545787878787879,4186431.815151515
2018-07-01,8.932968515742129,4250247.370314843
2018-07-02,8.060662739322533,3983600.880706922
2018-07-03,31.56370517928287,10820843.28818061
2018-07-04,11.53150289017341,8422290.439306358
2018-07-05,16.7206940509915,13686274.76062323
2018-07-06,18.19208275862069,15718848.273103448
2018-07-07,12.199329359165425,8256926.964232489
2018-07-08,8.627991886409736,5731531.415821501
2018-07-09,17.544285714285714,1874285.7142857143
2018-07-10,34.34216735253772,14795877.90809328
2018-07-11,11.863020030816642,10722812.010785824
2018-07-12,17.926618497109825,17353085.226878613
2018-07-13,22.36072857142857,22589307.115714286
2018-07-14,12.403966049382715,10001172.802469136
